road,loopNum
intersection_357,l143
intersection_357,l145
intersection_357,l149
intersection_357,l150
intersection_357,l156
intersection_357,l160
intersection_357,l197
intersection_357,l198
intersection_357,l199
intersection_357,l200
intersection_357,l201
intersection_357,l202
intersection_357,l204
intersection_357,l205
intersection_357,l206
intersection_357,l209
intersection_357,l210
intersection_357,l211
intersection_357,l212
intersection_357,l213
intersection_357,l214
intersection_357,l215
intersection_357,l216
intersection_357,l218
intersection_357,l219
intersection_357,l222
intersection_357,l223
intersection_357,l224
intersection_357,l225
intersection_357,l226
intersection_357,l229
intersection_357,l230
intersection_357,l231
intersection_357,l232
intersection_357,l234
intersection_357,l235
intersection_357,l236
intersection_357,l237
intersection_357,l238
intersection_357,l239
intersection_357,l241
intersection_357,l242
intersection_357,l243
intersection_357,l244
intersection_357,l245
intersection_357,l246
intersection_357,l247
intersection_357,l248
intersection_357,l249
intersection_357,l250
intersection_357,l251
intersection_357,l252
intersection_357,l253
intersection_357,l254
intersection_357,l255
intersection_357,l256
intersection_357,l257
intersection_357,l258
intersection_357,l259
intersection_357,l260
intersection_357,l261
intersection_357,l262
intersection_357,l263
intersection_357,l264
intersection_357,l265
intersection_357,l266
intersection_357,l267
intersection_357,l268
intersection_357,l269
intersection_357,l270
intersection_357,l271
intersection_357,l272
intersection_357,l273
intersection_357,l274
intersection_357,l275
intersection_357,l276
intersection_357,l277
intersection_357,l278
intersection_357,l279
intersection_357,l280
intersection_357,l281
intersection_357,l282
intersection_357,l283
intersection_357,l284
intersection_357,l285
intersection_357,l286
intersection_357,l287
intersection_357,l288
intersection_357,l289
intersection_357,l290
intersection_357,l291
intersection_357,l292
intersection_357,l293
intersection_357,l294
intersection_357,l295
intersection_357,l296
intersection_357,l297
intersection_357,l298
intersection_357,l299
intersection_357,l300
intersection_357,l301
intersection_357,l302
intersection_357,l303
intersection_357,l304
intersection_357,l305
intersection_357,l306
intersection_357,l307
intersection_357,l308
intersection_357,l309
intersection_357,l310
intersection_357,l311
intersection_357,l312
intersection_357,l313
intersection_357,l314
intersection_357,l315
intersection_357,l316
intersection_357,l317
intersection_357,l318
intersection_357,l319
intersection_357,l320
intersection_357,l321
intersection_357,l322
intersection_357,l323
intersection_357,l324
intersection_357,l325
intersection_357,l326
intersection_357,l327
intersection_357,l328
intersection_357,l329
intersection_357,l330
intersection_357,l331
intersection_357,l332
intersection_357,l333
intersection_357,l334
intersection_357,l335
intersection_357,l336
intersection_357,l337
intersection_357,l338
intersection_357,l339
intersection_357,l340
intersection_357,l341
intersection_357,l342
intersection_357,l343
intersection_357,l344
intersection_357,l345
intersection_357,l346
intersection_357,l347
intersection_357,l348
intersection_357,l349
intersection_357,l350
intersection_357,l351
intersection_357,l352
intersection_357,l353
intersection_357,l354
intersection_357,l355
intersection_357,l356
intersection_357,l357
intersection_357,l358
intersection_357,l359
intersection_357,l360
intersection_357,l361
intersection_357,l362
intersection_357,l363
intersection_357,l364
intersection_357,l365
intersection_357,l366
intersection_357,l367
intersection_357,l368
intersection_357,l369
intersection_357,l370
intersection_357,l371
intersection_357,l372
intersection_357,l373
intersection_357,l374
intersection_357,l375
intersection_357,l376
intersection_357,l377
intersection_357,l378
intersection_357,l379
intersection_357,l380
intersection_357,l381
intersection_357,l382
intersection_357,l383
intersection_357,l384
intersection_357,l385
intersection_357,l386
intersection_357,l387
intersection_357,l388
intersection_357,l389
intersection_357,l390
intersection_357,l391
intersection_357,l392
intersection_357,l393
intersection_357,l394
intersection_357,l395
intersection_357,l396
intersection_357,l397
