DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,WISLR_LINKID,WISLR_LKOFFSET,WISLR_LK_HIST_FLAG,ONHWYSYS,POSTSPD1
1KL07BZM0G,DT4000,1/27/2019,8,DANE,MIDDLETON,C,N,12,USH,WB,R,,,,,,GREENWAY BLVD,N,0.0288,43.09059633,-89.5201672,OTH NC,ON,NO,U STH,C,1,1,0,1,0,,,,,,,,,,,,,Y,,5515742,122,,USH,55
1KL07SK14D,DT4000,1/27/2019,8,DANE,MIDDLETON,C,I,,,,,HIGH RD,,,,,GREENBRIAR RD,,0,43.12621071,-89.50151808,TFSIGN,ON,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,4840316,407,,,30
1KL07TS27M,DT4000,1/27/2019,13,DANE,MIDDLETON,C,N,,,,,FRANK LLOYD WRIGHT AVE,M,CTH,NB,,CENTURY AVE,E,0.018,43.10659539,-89.49801236,MVIT,ON,NO,U CITY,O,4,1,0,0,0,,,,,,,Y,Y,,,,,,,5016905,95,,,25
1KL081Z7RC,DT4000,1/28/2019,4,DANE,MIDDLETON,C,N,,,,,AMHERST RD,,,,,PHEASANT LN,N,0.0108,43.10257406,-89.49037031,MVIT,ON,FTR,U CITY,O,2,1,0,0,0,,,,,Y,,,,,,,,,,4820075,567,,,25
02L0XWW1CC,DT4000,1/28/2019,16,DANE,MIDDLETON,T,N,14,USH,WB,,,,,,,WILLOW LN,W,0.1667,43.09510284,-89.56943244,TFSIGN,R SIDE,NO,R STH,C,1,1,0,1,0,,,,,,,,,,,,,,,5314179,2667,,USH,55
1KL07SK14F,DT4000,1/29/2019,9,DANE,MIDDLETON,C,I,,,,,AIRPORT RD,12,USH,EB,R,,,0,43.11135862,-89.5181089,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5098692,0,,,30
02L0Z0C3L7,DT4000,1/29/2019,10,DANE,CROSS PLAINS,T,N,14,USH,WB,,,,,,,STAGECOACH RD,W,0.28,43.09850409,-89.62574739,GR FAC,LTSH,NO,R STH,B,1,1,0,1,0,,,,,,,,,Y,,,,,,5455235,3912,,USH,55
1KL06SX4JX,DT4000,1/29/2019,15,DANE,MIDDLETON,C,PL,Q,CTH,SB,,ALLEN BLVD,MS,CTH,SB,,UNIVERSITY AVE,N,0.1021,43.09124598,-89.48566799,PKVEH,PARK,NO,U CITY,O,2,1,0,0,0,UNKN,,,,,,,UNKN,,,,,,,4842446,540,,CTH,
1KL07W13BL,DT4000,1/29/2019,15,DANE,MIDDLETON,C,I,12,USH,WB,R,,14,USH,WB,,,E,0.0188,43.0969802,-89.51865393,MVIT,ON,FTR,U STH,O,2,3,0,0,0,,,,,,,,,,,,,,,5314295,199,,USH,25
1KL084FB01,DT4000,1/31/2019,14,DANE,MIDDLETON,C,N,,,,,PARMENTER ST,,,,,PARMENTER STREET,,0,43.10207589,-89.51151404,EMBKMT,ON,NO,U CITY,O,1,1,0,0,0,Y,,,,,,,Y,,,,,Y,,4820137,350,,,30
