,FROM,TO,CRASH
897,1662258,1662307,0
898,1662244,1662203,0
899,1662303,1662429,4
900,1662673,1662681,0
901,1662460,1662569,6
902,1663212,1663215,9
903,2026265,1662230,0
904,1662509,1662561,1
905,1662561,1662625,0
906,1662753,1662803,0
907,1662803,1662945,1
908,1662804,1662756,0
909,1662804,1662803,1
910,1663076,1663054,0
911,1663611,1663607,0
912,1663590,1663775,0
913,1663775,1663844,0
914,1663770,1663775,0
915,1663762,1663646,0
916,1663646,1663668,0
917,1663646,1663596,0
918,1664122,1664052,0
919,1664052,1663998,1
920,1664052,1664056,0
921,1664349,1664383,0
922,1663605,1663710,0
923,1663710,1663717,0
924,1664144,1664197,0
925,2296035,1663189,0
926,1665615,1665732,0
927,1665732,1666112,0
928,1665732,1665652,0
929,1665652,1665603,0
930,1665603,1665455,0
931,1665455,1665354,0
932,1665543,1665653,0
933,1665455,1665543,0
934,1665133,1665127,0
935,1665127,1665114,0
936,1665354,1665127,0
937,1665354,1665353,0
938,1665543,1665448,0
939,1662147,1662100,0
940,1662100,1662071,0
941,1662374,1662365,0
942,1662811,1662810,0
943,1662309,1662375,0
944,1662375,1662374,0
945,1662375,1662538,0
946,1661921,1661911,0
947,1662100,1662067,1
948,1662067,1662074,0
949,1662074,1662132,0
950,1662208,1662155,0
951,1662155,1662147,0
952,1662155,1662074,2
953,1662922,1662971,0
954,1664019,1664469,0
955,1662357,1662463,2
956,1662372,1662357,4
957,1662463,1662462,0
958,1662372,1662462,3
959,2005034,2005032,0
960,1662276,1662319,0
961,1662319,1662509,0
962,1661549,1661547,0
963,1661555,1661566,0
964,1661566,1661547,0
965,1661577,1661544,0
966,1661547,1661585,0
967,1661566,1661593,0
968,1661593,1661585,0
969,1661598,1661555,0
970,1661585,1661676,0
971,1661676,1661577,0
972,1661614,1661598,0
973,1661614,1661593,0
974,1661585,1661620,0
975,1661620,1661676,0
976,1661614,1661719,0
977,1661670,1661614,0
978,1661555,1661553,0
979,1661389,1661553,0
980,1661553,1661668,0
981,1661670,1661668,0
982,1662813,1662784,2
983,1662286,1662282,0
984,1663293,1663344,9
985,1661879,1661890,0
986,1662040,1662109,0
987,1662898,1662957,0
988,1662000,1662049,0
989,1662088,1662069,0
990,1663583,1663604,2
991,1663604,1663605,0
992,1663710,1663604,1
993,1663450,1663531,0
994,1663531,1663584,1
995,1661577,1661558,0
996,2013290,1661558,0
997,1668381,1668383,0
998,1668391,1668383,0
999,1667774,1668437,0
1000,1668437,1668463,0
1001,1668463,1668285,0
1002,1668437,1668549,0
1003,1668103,1668551,1
1004,1668213,1668630,0
1005,1668329,1668636,0
1006,1668327,1668822,0
1007,1669042,1668393,0
1008,1668046,1668449,0
1009,1668168,1668444,0
1010,1668633,1668388,0
1011,15377,15378,0
1012,1663297,1663298,0
1013,1662474,1662481,0
1014,1667544,1667663,0
1015,1662513,1662458,0
1016,1662433,1662417,2
1017,1661729,1662290,3
1018,1661584,1662386,2
1019,1666471,10949,0
1020,1660820,1661200,0
1021,1661705,1661678,0
1022,1661705,1661704,0
1023,1661697,1661723,0
1024,1661723,1661705,0
1025,1661739,1661705,0
1026,1661704,1661754,0
1027,1661746,1661754,0
1028,1661767,1661704,0
1029,1661768,1661723,0
1030,1661768,1661769,0
1031,1661769,1661767,0
1032,1661754,1661794,0
1033,1661795,1661794,0
1034,1661746,1661805,0
1035,1661794,1661834,0
1036,1661834,1661767,0
1037,1661774,1661836,0
1038,1661836,1661867,0
1039,1661867,1661868,0
1040,1661869,1661825,0
1041,1661868,1661869,0
1042,1661869,1661880,0
1043,1661744,10464,0
1044,1661805,1661884,0
1045,1661880,1661884,2
1046,1661878,1661768,0
1047,1661805,1661887,0
1048,1661884,1661887,1
1049,1661769,1661882,0
1050,1661834,1661886,0
1051,1661887,1661886,2
1052,1661886,1661882,0
1053,1661837,1661851,0
1054,1661838,1661851,0
1055,1661868,1661936,0
1056,1661939,1661936,0
1057,1661867,1661939,0
1058,1661942,1661869,0
1059,1661936,1661942,0
1060,1661879,1661838,0
1061,1661906,1661908,0
1062,1661950,1661942,0
1063,1661959,1661880,0
1064,1661950,1661959,0
1065,1661851,1661904,0
1066,1661904,1661907,0
1067,1661940,1661952,0
1068,1661952,1661801,0
1069,1661951,1661993,0
1070,1661946,1661908,1
1071,1661908,1661945,0
1072,1661936,1662004,0
1073,1662004,1661950,0
1074,1661945,1661965,0
1075,1661927,1662019,0
1076,1661970,1661966,0
1077,1661965,1661970,0
1078,1662019,1662023,0
1079,1661904,1661969,0
1080,1661993,1662036,0
1081,1661974,1661978,0
1082,1661977,1661974,0
1083,1661978,1661984,0
1084,1661984,1661974,0
1085,1661988,1661879,0
1086,1661987,1661988,0
1087,1661997,1662008,0
1088,1662008,1661945,0
1089,1662055,1662004,0
1090,1662053,1662055,0
1091,1662011,1661970,0
1092,1661984,1662000,0
1093,1662000,1662001,0
1094,1662001,1662003,0
1095,1662003,1661907,2
1096,1662023,1662070,0
1097,1661940,1662062,0
1098,1662062,1661952,0
1099,1662070,1662075,0
1100,1662016,1662068,0
1101,1661969,1662042,0
1102,1662042,1662040,0
1103,1662040,1662044,0
1104,1662044,1661988,0
1105,1662091,1662036,0
1106,1662096,1662055,0
1107,1662096,1662093,0
1108,1662098,1662096,0
1109,1661939,1662098,0
1110,1662036,1662091,0
1111,1661897,1662118,0
1112,1662057,1662117,0
1113,1662117,1662118,0
1114,1662054,1662119,0
1115,1662119,1662117,0
1116,1661965,1662066,0
1117,1661993,1662113,0
1118,1662068,1661940,0
1119,1662039,1662129,0
1120,1662129,1662119,0
1121,1662138,1662129,0
1122,1662091,1662141,0
1123,1662113,1662141,0
1124,1662070,1662149,0
1125,1662149,1662138,0
1126,1662113,1662147,0
1127,1662088,1662008,0
1128,1662090,1662088,0
1129,1662075,1662154,0
1130,1662154,1662149,0
1131,1662042,1662085,0
1132,1661793,1662176,0
1133,1662085,1661969,0
1134,10503,1662121,0
1135,1662145,1661949,0
1136,1662132,1662164,0
1137,1662164,1662154,0
1138,1662098,1662161,0
1139,1662165,1662093,0
1140,1662165,1662161,0
1141,1662118,1662178,0
1142,1662117,1662179,0
1143,1662178,1662179,0
1144,1662119,1662181,0
1145,1662179,1662181,0
1146,1662129,1662183,0
1147,1662181,1662183,0
1148,1662088,1662148,0
