WISLR_LINKID,functional_class
4840958,Urban Collector
4840961,Urban Local
4840966,Urban Local
4840967,Urban Local
4840972,Urban Other Connecting Link Principal Arterial
4840973,Urban Local
4840974,Urban Local
4840984,Urban Local
4840985,Urban Other Connecting Link Principal Arterial
4840988,Urban Other Connecting Link Principal Arterial
4840989,Urban Local
4840996,Urban Local
4840997,Urban Local
4840998,Urban Local
4841002,Urban Local
4841020,Urban Local
4841021,Urban Local
4841026,Urban Local
4841030,Urban Other Connecting Link Principal Arterial
4841031,Urban Local
4841032,Urban Collector
4841036,Urban Local
4841038,Urban Local
4841039,Urban Local
4841041,Urban Local
4841042,Urban Local
4841044,Urban Local
4841045,Urban Local
4841060,Urban Local
4841061,Urban Local
4841063,Rural Local
4841076,Urban Local
4841077,Urban Local
4841078,Urban Local
4841080,Urban Local
4841084,Urban Local
4841093,Urban Local
4841098,Urban Local
4841099,Urban Local
4841100,Urban Local
