,FROM,TO,test
1725,1667587,1667533,0.022080319369739365
1726,1667586,1667587,0.022080319369739365
1727,1667636,1667534,0.022080319369739365
1728,1667652,1667636,0.022080319369739365
1729,1667658,1667595,0.022080319369739365
1730,1667658,1667663,0.022080319369739365
1731,1667714,1667493,0.022080319369739365
1732,1667711,1667658,0.022080319369739365
1733,1667710,1667636,0.022080319369739365
1734,1667728,1667658,0.022080319369739365
1735,1667730,1667710,0.022080319369739365
1736,1667739,1667587,0.022080319369739365
1737,1667774,1667144,0.07466210730064751
1738,1667291,1667771,0.022080319369739365
1739,1667773,1667710,0.022080319369739365
1740,1667823,1667876,0.022080319369739365
1741,1667899,1667771,0.022080319369739365
1742,1667939,1667714,0.022080319369739365
1743,1667899,1668103,0.12069277653732424
1744,1668103,1667876,0.022080319369739365
1745,1668213,1667518,0.024947423305383902
1746,1668195,1668231,0.022080319369739365
1747,1668327,1668231,0.004412649831525029
1748,1668327,1668195,0.022080319369739365
1749,1668329,1668298,0.022080319369739365
1750,1668393,1667493,0.022080319369739365
1751,11127,1667714,0.022080319369739365
1752,10464,1661946,0.005095410932790129
1753,10523,1662510,0.054413625171743
1754,1662510,1662750,0.026691709421595107
1755,1662750,1662946,0.022589778840417706
1756,1667829,1667899,0.022080319369739365
1757,1667876,1667829,0.022080319369739365
1758,1667779,1667829,0.022080319369739365
1759,1667144,1666947,0.022080319369739365
1760,1666947,1666498,0.022080319369739365
1761,1667300,1667783,0.022080319369739365
1762,1667783,1667774,0.022080319369739365
1763,1667771,1667783,0.022080319369739365
1764,1667085,1666947,0.022080319369739365
1765,1666321,1666480,0.022080319369739365
1766,1666480,1666485,0.012716886499244616
1767,1666349,1666490,0.022080319369739365
1768,1666490,1666480,0.012716886499244616
1769,1666699,1666494,0.022080319369739365
1770,1666494,1666490,0.012716886499244616
1771,1666498,1666494,0.012716886499244616
1772,1666295,1666504,0.022080319369739365
1773,1666504,1666512,0.06486093814860938
1774,1666500,1666504,0.012716886499244616
1775,1667949,1668086,0.022080319369739365
1776,1667949,1668329,0.022080319369739365
1777,1667503,1667949,0.022080319369739365
1778,1668266,1668393,0.022080319369739365
1779,1666485,1666589,0.022080319369739365
1780,1666670,1666589,0.022080319369739365
1781,1665551,1666471,0.022080319369739365
1782,1664761,1664722,0.022080319369739365
1783,1665153,1664722,0.03706339322777679
1784,1664722,1663343,0.029262240395157294
1785,1663921,1664202,0.022080319369739365
1786,1663265,1663086,0.022080319369739365
1787,1663230,1663265,0.022080319369739365
1788,1663289,1663265,0.022080319369739365
1789,1662487,1662176,0.022080319369739365
1790,1662490,1662487,0.022080319369739365
1791,1663075,1662487,0.022080319369739365
1792,1663632,1663075,0.022080319369739365
1793,1664174,1663901,0.022080319369739365
1794,1661725,1661719,0.06978415760054152
1795,1661700,1661725,0.06978415760054152
1796,1661670,1661719,0.06978415760054152
1797,1661719,2008373,0.06978415760054152
1798,1661725,1661742,0.06978415760054152
1799,1661802,1661838,0.06978415760054152
1800,1661907,1661668,0.002654451764463859
1801,2024346,1663717,0.056387466475889075
1802,1663861,2024347,0.10410941552540334
1803,1663981,1664156,0.006818461530069585
1804,1664213,1664144,0.012235016310806118
1805,1664213,1663583,0.009024130525023913
1806,1663870,1663717,0.06978415760054152
1807,1663870,1663862,0.005095410932790129
1808,1664144,1663870,0.017278978466793042
1809,1663510,1663470,0.22475193005719937
1810,1663897,1663973,0.06978415760054152
1811,1663916,1663897,0.06978415760054152
1812,1663897,1664021,0.23577676655742344
1813,1663687,1663741,0.06978415760054152
1814,1663668,1663687,0.06978415760054152
1815,1663689,1663687,0.06978415760054152
1816,1663297,1663344,0.006818461530069585
1817,1663228,1663297,0.006818461530069585
1818,1663293,1663207,0.3246120885541778
1819,1663205,1663207,0.06978415760054152
1820,1663203,1663205,0.06978415760054152
1821,1663266,1663205,0.06978415760054152
1822,1662536,1662477,0.06978415760054152
1823,1662481,1662437,0.06978415760054152
1824,1662494,1662481,0.06978415760054152
1825,1662536,1662494,0.06978415760054152
1826,1662494,1662474,0.06978415760054152
1827,1662474,1662420,0.06978415760054152
1828,1662431,1662421,0.06978415760054152
1829,1662421,1662437,0.06978415760054152
1830,1662420,1662421,0.06978415760054152
1831,1662460,1662582,0.06978415760054152
1832,1662887,1662837,0.06978415760054152
1833,1661199,1661196,0.06978415760054152
1834,1661200,1661199,0.06978415760054152
1835,1661560,1661559,0.006818461530069585
1836,1661556,1661560,0.006818461530069585
1837,1662412,1662410,0.005095410932790129
1838,1662539,1662412,0.022080319369739365
1839,1662403,1662247,0.06978415760054152
