,FROM,TO,TIME
851,1666294,1666353,24.633333333333333
852,1666026,1666165,21.133333333333333
853,1665971,1665902,7.033333333333333
854,2304262,1666984,21.133333333333333
855,1666984,1666907,21.133333333333333
856,2304263,1667179,21.133333333333333
857,1667179,1667162,10.566666666666666
858,1666984,1667179,42.233333333333334
859,1667933,1668044,26.4
860,1667933,1668046,26.4
861,1667874,1667931,24.633333333333333
862,1668168,1668185,8.8
863,1668018,1668168,40.46666666666667
864,1668046,1667877,40.46666666666667
865,1667663,1667874,45.766666666666666
866,1667874,1667933,12.333333333333334
867,1667877,1667880,28.166666666666668
868,1667880,1668018,31.666666666666668
869,1667877,1667835,10.566666666666666
870,1665046,1665100,52.8
871,1663075,1662995,24.633333333333333
872,10492,1661921,42.233333333333334
873,1661921,1661874,8.8
874,1662064,10492,3.533333333333333
875,1662064,1662172,15.833333333333334
876,1662235,1662321,14.066666666666666
877,1662065,1662121,8.44
878,1662121,1662083,10.56
879,1662121,1662120,8.44
880,1662178,1662177,13.454545454545455
881,1662177,1662120,12.68
882,1662120,1662079,4.24
883,1662120,1662118,16.88
884,1662175,1662147,10.56
885,1662236,1662208,10.56
886,1662280,1662236,12.68
887,1662236,1662204,12.68
888,1662204,1662175,10.56
889,1662258,1662236,10.56
890,1662203,1662175,10.56
891,1662173,1662141,8.44
892,1662173,1662203,10.56
893,1662098,1662173,35.92
894,1662228,1662204,10.56
895,1662203,1662228,10.56
896,1662228,1662258,12.68
897,1662258,1662307,10.56
898,1662244,1662203,12.68
899,1662303,1662429,22.866666666666667
900,1662673,1662681,6.6
901,1662460,1662569,38.733333333333334
902,1663212,1663215,35.46666666666667
903,2026265,1662230,24.142857142857142
904,1662509,1662561,9.6
905,1662561,1662625,5.275
906,1662753,1662803,9.25
907,1662803,1662945,38.0
908,1662804,1662756,7.925
909,1662804,1662803,21.12
910,1663076,1663054,2.65
911,1663611,1663607,10.55
