RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4820552,1663444,1663372,317,52.7999992
4820555,1663352,1663440,370,52.7999992
4820556,1663440,1663439,739,52.7999992
4820558,1663444,1663446,317,52.7999992
4820567,1663450,1663444,950,52.7999992
4820570,1663449,1663375,317,52.7999992
4820571,1663446,1663449,422,52.7999992
4820577,1663452,1663450,370,52.7999992
4820578,1663377,1663452,370,52.7999992
4820579,1663383,1663455,370,52.7999992
4820580,1663422,1663455,898,52.7999992
4820581,1663455,1663452,475,52.7999992
4820593,1663549,1662365,6706,52.7999992
4820596,1663449,1663472,422,52.7999992
4820608,1663507,1663422,264,52.7999992
4820609,1663498,1663507,317,52.7999992
4820611,1663510,1663498,1214,52.7999992
4820612,1663355,1663492,686,52.7999992
4820617,1663430,1663508,422,52.7999992
4820618,1663508,1663375,1320,52.7999992
4820620,1663438,1663515,422,52.7999992
4820621,1663430,1663515,528,52.7999992
4820668,1663508,1663553,370,52.7999992
4820669,1663472,1663553,528,52.7999992
4820677,1663563,1663498,317,52.7999992
4820708,1663440,1663570,634,52.7999992
4820712,1663578,1663449,634,52.7999992
4820713,1663577,1663472,528,52.7999992
4820714,1663578,1663577,317,52.7999992
4820715,1663579,1663578,317,52.7999992
4820716,1663446,1663579,634,52.7999992
4820723,1663581,1663579,370,52.7999992
4820724,1663581,1663444,634,52.7999992
4820731,1663584,1663581,898,52.7999992
4820732,1663587,1663584,211,52.7999992
4820733,1663590,1663587,686,52.7999992
4820737,1663601,1663507,475,52.7999992
4820738,1663601,1663590,792,52.7999992
4820745,1663553,1663603,317,52.7999992
4820746,1663577,1663603,317,52.7999992
4820756,1663489,1663611,845,52.7999992
4820786,1663603,1663647,317,52.7999992
4820791,1663652,1663581,370,52.7999992
4820800,1663510,1663665,792,52.7999992
4820801,1663603,1663663,370,52.7999992
4820802,1663663,1663640,158,52.7999992
4820804,1663515,1663661,1056,52.7999992
4820809,1663668,1663601,317,52.7999992
4820821,1663665,1663678,158,52.7999992
4820826,1663675,1663578,739,52.7999992
4820827,1663675,1663652,211,52.7999992
4820839,1663688,1663508,1214,52.7999992
4820859,1663569,1663739,1162,52.7999992
4820872,1663688,1663722,317,52.7999992
4820873,1663553,1663722,1056,52.7999992
4820876,1663665,1663729,317,52.7999992
4820895,1663663,1663737,581,52.7999992
4820896,1663737,1663675,581,52.7999992
4820899,1663729,1663759,317,52.7999992
4820902,1663722,1663745,370,52.7999992
4820903,1663647,1663745,686,52.7999992
4820905,1663721,1663762,422,52.7999992
4820915,1663777,1663741,370,52.7999992
4820916,1663777,1663685,422,52.7999992
4820935,1663793,1663647,898,52.7999992
4820936,1663793,1663737,317,52.7999992
4820937,1663836,1663794,317,52.7999992
4820953,1663836,1663739,1214,52.7999992
4820973,1663745,1663815,422,52.7999992
4820974,1663818,1663652,792,52.7999992
4820975,1663830,1663777,422,52.7999992
4820976,1663762,1663830,475,52.7999992
4820982,1663823,1663736,264,52.7999992
4820996,1663837,1663793,370,52.7999992
4821010,1663729,1663851,528,52.7999992
4821013,1663843,1663823,211,52.7999992
4821014,1663843,1663688,739,52.7999992
4821015,1663851,15377,211,52.7999992
4821016,1663850,1663844,317,52.7999992
4821017,1663755,1663850,422,52.7999992
4821018,1663815,1663837,475,52.7999992
4821019,1663888,1663836,317,52.7999992
4821020,15378,1663861,686,52.7999992
4821021,1663722,1663843,898,52.7999992
4821022,1663861,1663862,634,52.7999992
4821032,1663863,1663850,317,52.7999992
4821035,1663866,1663863,370,52.7999992
4821041,1663830,1663866,792,52.7999992
4821054,1663921,1663366,2851,52.7999992
4821059,1663745,1663876,528,52.7999992
4821060,1663570,1663873,1373,52.7999992
4821070,1663860,1663836,1426,52.7999992
4821100,1663903,1663843,370,52.7999992
4821103,1663851,1663919,370,52.7999992
4821106,1663844,1663916,422,52.7999992
4821107,10698,1663943,2218,52.7999992
4821108,1663943,1663938,2640,52.7999992
4821112,1663549,1663992,2376,52.7999992
4821127,1663916,1663949,1531,52.7999992
4821128,1663949,1663926,106,52.7999992
4821156,1663972,1663819,898,52.7999992
4821157,1663919,1663972,370,52.7999992
4821165,1663968,1663818,1373,52.7999992
4821177,1663981,1663862,634,52.7999992
4821181,1663980,1663830,792,52.7999992
4821187,1663983,1663968,264,52.7999992
4821188,1663998,1663949,264,52.7999992
4821189,1663998,1663980,422,52.7999992
4821192,1664002,1663980,264,52.7999992
4821206,1664009,1664002,317,52.7999992
4821207,1663972,1664009,211,52.7999992
4821208,1664019,1663861,792,52.7999992
4821209,1663981,1664019,792,52.7999992
4821213,1664013,1663818,1003,52.7999992
4821214,1664021,1664013,634,52.7999992
4821223,1663973,1664021,792,52.7999992
4821224,1664017,1663903,1056,52.7999992
4821233,1664025,1663983,317,52.7999992
4821252,1664017,1664038,158,52.7999992
4821267,1664038,1664051,370,52.7999992
4821268,1664026,1664051,158,52.7999992
4821269,1664065,1664002,317,52.7999992
4821274,1664069,1664021,264,52.7999992
4821275,1663968,1664064,950,52.7999992
4821276,1664051,1664063,317,52.7999992
4821277,1664032,1664063,158,52.7999992
4821280,1663983,1664078,686,52.7999992
4821287,1664062,1664082,158,52.7999992
4821288,1664082,1664025,422,52.7999992
4821290,1664038,1664079,211,52.7999992
4821313,1664167,1663549,3590,52.7999992
4821316,1664174,1664167,4066,52.7999992
4821320,1664125,1664122,370,52.7999992
4821323,1664064,1664126,370,52.7999992
4821324,1664126,1664114,211,52.7999992
4821339,1664063,1664137,792,52.7999992
4821340,1664137,1664082,370,52.7999992
4821341,1664082,1664025,1373,52.7999992
4821344,1664009,1664147,845,52.7999992
4821347,1664148,1664125,581,52.7999992
4821348,1664128,1664148,264,52.7999992
4821356,1664157,1664125,264,52.7999992
4821359,1664093,1664159,581,52.7999992
4821360,1664159,1664122,264,52.7999992
4821361,1664121,1664155,158,52.7999992
4821362,1664064,1664155,792,52.7999992
4821367,1664163,1664126,317,52.7999992
4821374,1664051,1664165,634,52.7999992
4821387,1663916,1664185,1742,52.7999992
4821390,1664147,1664190,264,52.7999992
4821395,1664155,1664199,158,52.7999992
4821396,1664208,1664159,370,52.7999992
4821397,1664204,1664163,317,52.7999992
4821410,1664159,1664228,528,52.7999992
4821413,1664237,1664148,475,52.7999992
4821416,1664170,1664247,317,52.7999992
4821417,1664190,1664247,528,52.7999992
4821418,1664247,1664237,211,52.7999992
4821424,1664248,1664163,528,52.7999992
4821427,1664148,1664256,581,52.7999992
4821429,1664255,1664013,1267,52.7999992
4821437,1664266,1664248,158,52.7999992
4821440,1664271,1664137,1003,52.7999992
4821441,1664155,1664271,739,52.7999992
4821462,1664291,1664237,317,52.7999992
4821463,1664247,1664295,211,52.7999992
4821466,1664271,1664290,739,52.7999992
4821467,1664290,1664248,264,52.7999992
4821515,1664328,1664255,422,52.7999992
4821524,1664344,1664301,475,52.7999992
4821525,1664344,1664271,422,52.7999992
4821526,1664290,1664349,475,52.7999992
4821527,1664190,1664359,792,52.7999992
4821528,1664355,1664290,317,52.7999992
4821548,1664349,1664378,158,52.7999992
4821549,1664328,1664378,370,52.7999992
4821556,1664355,1664391,528,52.7999992
4821557,1664137,1664344,1901,52.7999992
4821569,1664378,1664414,422,52.7999992
4821616,1663739,1664487,3854,52.7999992
4821630,1664213,1664467,1214,52.7999992
4821635,1663943,1664489,3062,52.7999992
4821638,1664486,1664294,845,52.7999992
4821661,1664487,1664202,5597,52.7999992
4821664,1664482,1664355,686,52.7999992
4821728,1664202,1664609,2112,52.7999992
4821772,1664174,1664709,2957,52.7999992
4821850,1664487,1664738,2534,52.7999992
4821853,1664738,1664742,1162,52.7999992
4821910,1664797,1664605,1373,52.7999992
4822123,1665038,10787,4541,52.7999992
4822138,1665100,1664167,4858,52.7999992
4822207,1664738,1665120,1531,52.7999992
4822208,1665116,1665118,264,52.7999992
4822209,1665118,1664999,475,52.7999992
